1		1122705016		
2		1122706036		10
3		1222705005		15
4		1222705011		20
5		1222705020		
6		1322705013		5
7		1322705029		40
8		1322705040		
9		1322705052		
10		1422705003		1
11		1422705017		
12		1422705039		30
13		1422705040		15
14		1422705041		15
15		1422705047		20
16		1422705051		
17		1422705055		5
18		1422706004		25
19		1422706007		10
20		1422706011		
21		1422706012		25
22		1422706013		
23		1422706017		20
24		1422706019		1
25		1422706023		
26		1522705004		20
27		1522705026		
28		1522705031		
29		1522705056		25
